epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,432.979,1.61859,1.94442,1.53217,0.33958,0.23858,0.1562,0.07012,2.06309,9.08452,1.93527,0.0910596,0.000993377,0.000993377
2,864.938,1.67019,1.7159,1.5925,0.62988,0.55514,0.58283,0.32327,1.68895,1.65625,1.6645,0.0820591,0.00199284,0.00199284
3,1296.3,1.63493,1.62257,1.5573,0.61327,0.5451,0.56081,0.31768,1.69499,2.14904,1.71193,0.0730564,0.00299014,0.00299014
4,1726.58,1.64417,1.64216,1.55604,0.57279,0.47954,0.47283,0.26841,1.79479,1.96632,1.73098,0.0640499,0.00398366,0.00398366
5,2157.31,1.63495,1.6433,1.56221,0.62832,0.48703,0.55705,0.29112,1.80642,1.55915,1.77717,0.055038,0.00497178,0.00497178
6,2587.29,1.60396,1.57049,1.54545,0.61473,0.5642,0.5861,0.33258,1.60289,1.64939,1.60935,0.0460191,0.00595292,0.00595292
7,3017.72,1.57638,1.52961,1.52096,0.65752,0.62848,0.65135,0.36655,1.59273,1.29287,1.5099,0.0369917,0.00692546,0.00692546
8,3447.65,1.57053,1.51505,1.51734,0.70164,0.63345,0.66839,0.38024,1.55901,1.41367,1.52657,0.0279541,0.00788784,0.00788784
9,3877.82,1.5346,1.48902,1.49796,0.67279,0.62949,0.67079,0.3793,1.52061,1.38706,1.49784,0.0189047,0.0088385,0.0088385
10,4306.99,1.51927,1.42697,1.47828,0.72068,0.62616,0.69571,0.4021,1.50411,1.21988,1.46784,0.00984212,0.0097759,0.0097759
11,4738.03,1.52101,1.43349,1.48121,0.67202,0.61766,0.65652,0.38196,1.59192,1.24428,1.52006,0.0097318,0.0097318,0.0097318
12,5168.56,1.50982,1.44028,1.48612,0.67324,0.66171,0.68622,0.40001,1.49124,1.13367,1.45796,0.00967609,0.00967609,0.00967609
13,5598.35,1.4713,1.37015,1.44471,0.67687,0.655,0.68601,0.40215,1.49692,1.11463,1.46869,0.00961533,0.00961533,0.00961533
14,6028.81,1.49313,1.364,1.45788,0.71912,0.68402,0.7246,0.42069,1.47936,1.132,1.45651,0.00954958,0.00954958,0.00954958
15,6459.7,1.45854,1.34582,1.43985,0.73329,0.67507,0.7261,0.40796,1.48898,1.07138,1.4514,0.00947891,0.00947891,0.00947891
16,6889.77,1.46159,1.32516,1.43921,0.76387,0.67826,0.72953,0.42883,1.46126,1.02546,1.43511,0.0094034,0.0094034,0.0094034
17,7320.18,1.43573,1.30429,1.41669,0.77578,0.71946,0.76035,0.44122,1.43264,1.01467,1.39675,0.00932312,0.00932312,0.00932312
18,7751.49,1.43054,1.30396,1.41994,0.76504,0.6979,0.74779,0.4447,1.42795,1.00474,1.39364,0.00923817,0.00923817,0.00923817
19,8181.49,1.43578,1.2868,1.41002,0.76556,0.69241,0.73644,0.43239,1.43894,1.05802,1.42429,0.00914864,0.00914864,0.00914864
20,8611.05,1.42847,1.29069,1.42031,0.7584,0.70604,0.7511,0.44835,1.41719,0.96211,1.38099,0.00905463,0.00905463,0.00905463
21,9040.83,1.43856,1.28953,1.4357,0.74407,0.701,0.72843,0.43739,1.42144,1.04287,1.41966,0.00895625,0.00895625,0.00895625
22,9472.35,1.42736,1.25787,1.40711,0.78818,0.71298,0.76962,0.45559,1.40136,0.98182,1.39764,0.00885359,0.00885359,0.00885359
23,9902.7,1.39591,1.25902,1.4045,0.79147,0.70648,0.76348,0.45328,1.4147,0.96501,1.36866,0.00874677,0.00874677,0.00874677
24,10333,1.40008,1.26251,1.39269,0.76043,0.71311,0.7493,0.45878,1.39516,0.96527,1.37157,0.0086359,0.0086359,0.0086359
25,10763.8,1.39325,1.25573,1.39334,0.77352,0.68931,0.746,0.44716,1.42984,0.96367,1.39741,0.00852112,0.00852112,0.00852112
26,11194.8,1.38292,1.2108,1.37757,0.7912,0.72029,0.77159,0.46612,1.3722,0.91899,1.35474,0.00840254,0.00840254,0.00840254
27,11625.7,1.3771,1.19245,1.38401,0.79363,0.73306,0.78071,0.46587,1.37352,0.93483,1.36677,0.0082803,0.0082803,0.0082803
28,12056,1.36922,1.19665,1.36765,0.79459,0.74284,0.79019,0.47948,1.35337,0.91032,1.34711,0.00815452,0.00815452,0.00815452
29,12486.5,1.3596,1.18311,1.37758,0.78942,0.74323,0.79426,0.47664,1.36782,0.91312,1.34909,0.00802535,0.00802535,0.00802535
30,12916.8,1.37943,1.21282,1.38671,0.76533,0.72365,0.76778,0.45833,1.38756,0.93458,1.36473,0.00789293,0.00789293,0.00789293
31,13347.9,1.36209,1.19747,1.37533,0.80593,0.74532,0.79607,0.47741,1.35461,0.88811,1.34962,0.00775739,0.00775739,0.00775739
32,13780,1.35736,1.15755,1.37102,0.80337,0.74423,0.79292,0.48265,1.35045,0.87196,1.35536,0.0076189,0.0076189,0.0076189
33,14211.4,1.3667,1.18574,1.37952,0.79073,0.7452,0.79476,0.4852,1.3393,0.86573,1.33012,0.0074776,0.0074776,0.0074776
34,14644.3,1.33952,1.15457,1.35442,0.78752,0.74559,0.7854,0.47861,1.35342,0.8738,1.33897,0.00733364,0.00733364,0.00733364
35,15076.4,1.36056,1.14312,1.35799,0.83451,0.74728,0.80688,0.49132,1.34706,0.86154,1.33708,0.00718718,0.00718718,0.00718718
36,15506.7,1.34443,1.1397,1.36214,0.80216,0.75282,0.80185,0.48875,1.34498,0.8676,1.33055,0.00703839,0.00703839,0.00703839
37,15937.2,1.34781,1.15295,1.36625,0.82412,0.75472,0.81186,0.49841,1.33199,0.83595,1.33102,0.00688743,0.00688743,0.00688743
38,16368,1.33541,1.11918,1.34885,0.78318,0.72647,0.76123,0.46887,1.33608,0.93156,1.3189,0.00673445,0.00673445,0.00673445
39,16800,1.3324,1.12121,1.34637,0.81572,0.75509,0.80528,0.48863,1.34498,0.85201,1.34551,0.00657963,0.00657963,0.00657963
40,17230.6,1.31325,1.10239,1.34336,0.82713,0.74817,0.80618,0.4951,1.33893,0.83106,1.32584,0.00642314,0.00642314,0.00642314
41,17662.1,1.3161,1.11053,1.34566,0.82173,0.76584,0.81267,0.49754,1.32634,0.83181,1.31874,0.00626515,0.00626515,0.00626515
42,18093.3,1.31313,1.09095,1.34667,0.82339,0.76054,0.81642,0.50308,1.312,0.83419,1.31121,0.00610583,0.00610583,0.00610583
43,18525.3,1.30079,1.07704,1.33332,0.81304,0.75219,0.80078,0.49252,1.32613,0.81763,1.30866,0.00594536,0.00594536,0.00594536
44,18955.7,1.28999,1.06331,1.31518,0.80234,0.74696,0.79024,0.48767,1.33304,0.8519,1.31801,0.00578391,0.00578391,0.00578391
45,19386.6,1.29347,1.0813,1.32365,0.83229,0.77714,0.82844,0.51266,1.3192,0.81433,1.3121,0.00562165,0.00562165,0.00562165
46,19818,1.31111,1.0965,1.335,0.80376,0.75428,0.79991,0.49296,1.32556,0.82378,1.30976,0.00545877,0.00545877,0.00545877
47,20249.9,1.28597,1.08327,1.33015,0.82722,0.76286,0.81815,0.51145,1.30119,0.79911,1.29932,0.00529544,0.00529544,0.00529544
48,20681.7,1.30376,1.06934,1.3238,0.83715,0.74967,0.81923,0.5182,1.28937,0.79903,1.29586,0.00513184,0.00513184,0.00513184
49,21112.8,1.27946,1.04993,1.31665,0.83149,0.76941,0.82826,0.51669,1.29874,0.77799,1.29956,0.00496816,0.00496816,0.00496816
50,21544.8,1.28567,1.05495,1.32535,0.82518,0.7589,0.81826,0.51067,1.29672,0.80408,1.29557,0.00480456,0.00480456,0.00480456
51,21976.2,1.27945,1.03294,1.31558,0.81774,0.77599,0.82343,0.51423,1.30007,0.77959,1.29454,0.00464123,0.00464123,0.00464123
52,22408.3,1.27057,1.03174,1.31269,0.83039,0.77359,0.82725,0.51374,1.29334,0.78261,1.29267,0.00447835,0.00447835,0.00447835
53,22839.5,1.28464,1.0383,1.32278,0.8221,0.77128,0.82338,0.52252,1.28704,0.77313,1.29115,0.00431609,0.00431609,0.00431609
54,23271.4,1.25873,1.02164,1.31245,0.81978,0.78537,0.82719,0.52037,1.28848,0.77365,1.28879,0.00415464,0.00415464,0.00415464
55,23702.4,1.26562,1.03017,1.31276,0.85623,0.78586,0.84167,0.5242,1.28949,0.75548,1.29087,0.00399417,0.00399417,0.00399417
56,24133.2,1.26273,1.00879,1.30086,0.8156,0.76614,0.82026,0.51611,1.28856,0.77134,1.29188,0.00383485,0.00383485,0.00383485
57,24564.6,1.25797,1.00148,1.30261,0.85462,0.75325,0.82555,0.52169,1.27706,0.75783,1.27592,0.00367686,0.00367686,0.00367686
